,count,mean,std,min,25%,50%,75%,max
lqr,100.0,949.0476229184053,49.59592189666815,850.259756790445,915.8721765822148,966.1293224912041,992.4825172457568,999.9997865522593
final,100.0,-831.0209400393546,459.53042998974627,-1098.463164860249,-1067.5074923305135,-1027.0495619580745,-830.1072613780963,597.2520848236447
