,count,mean,std,min,25%,50%,75%,max
lqr,100.0,949.0476229184053,49.59592189666815,850.259756790445,915.8721765822148,966.1293224912041,992.4825172457568,999.9997865522593
bc,100.0,949.0463166222493,49.59713177018551,850.2539140623671,915.8710767868911,966.1284943417326,992.4817591364217,999.9993638391073
final,100.0,946.9436104600844,49.89064919430272,848.6543067853055,913.2156350929129,963.6733853492487,990.4406266663548,998.2010183477801
