,count,mean,std,min,25%,50%,75%,max
lqr,100.0,949.0476229184053,49.59592189666815,850.259756790445,915.8721765822148,966.1293224912041,992.4825172457568,999.9997865522593
bc,100.0,949.0460799520464,49.59680817636137,850.256670072693,915.8697982530197,966.1275787885324,992.4819145019095,999.9997762001658
final,100.0,943.0783433655629,55.06949947917148,835.4391745383996,905.5303984555528,961.1904087977092,991.048588117801,999.8132984574463
