,count,mean,std,min,25%,50%,75%,max
lqr,100.0,949.0476229184053,49.59592189666815,850.259756790445,915.8721765822148,966.1293224912041,992.4825172457568,999.9997865522593
bc,100.0,-685.5794175013209,699.9620855973631,-1002.1567449202728,-1000.6268133717404,-1000.0,-998.1394100938128,992.4544713534506
final,100.0,519.8816683809667,644.8370501932499,-1099.3195614037627,377.2656814937367,716.1067983186424,963.9498208941777,999.6070013241457
