,count,mean,std,min,25%,50%,75%,max
lqr,100.0,949.0476229184053,49.59592189666815,850.259756790445,915.8721765822148,966.1293224912041,992.4825172457568,999.9997865522593
final,100.0,893.7059689313376,210.65762002075795,-1014.5905342233249,851.9428394452431,942.8202177926436,987.2928573465913,999.273983860595
