,count,mean,std,min,25%,50%,75%,max
lqr,100.0,949.0476229184053,49.59592189666815,850.259756790445,915.8721765822148,966.1293224912041,992.4825172457568,999.9997865522593
bc,100.0,-644.0032208375637,763.6658000196782,-1002.8458096078085,-1000.6096454922675,-1000.0,-997.4876689176758,994.7019990557636
final,100.0,342.1911685138312,496.339387652523,-481.6092377323679,9.336982733826977,244.83493152544403,860.6775595491133,902.7351163757862
