,count,mean,std,min,25%,50%,75%,max
lqr,100.0,949.0476229184053,49.59592189666815,850.259756790445,915.8721765822148,966.1293224912041,992.4825172457568,999.9997865522593
final,100.0,415.4144629154801,126.0011236060805,212.52079160356683,292.06360241162815,438.57666023304023,496.1121914671386,662.1692549723905
