,count,mean,std,min,25%,50%,75%,max
lqr,100.0,949.0476229184053,49.59592189666815,850.259756790445,915.8721765822148,966.1293224912041,992.4825172457568,999.9997865522593
final,100.0,416.95258153733926,847.7118292955004,-1004.9031014433734,-1000.0,876.0785861981249,956.963459284525,993.0417518100007
